date,pr,mm,mp,mc,weekday,hol,months,target
27/07/2018,2147,46,198,2662,Fri,Y,6,3239
28/07/2018,2296,34,151,2217,Sat,Y,6,3229
29/07/2018,2219,27,176,2436,Sun,Y,6,3108
30/07/2018,1959,36,148,2413,Mon,Y,6,2534
31/07/2018,1781,33,159,2260,Tue,Y,6,2454
01/08/2018,2115,43,161,2237,Wed,Y,7,2854
02/08/2018,1807,39,149,2254,Thu,Y,7,2583
03/08/2018,1705,38,186,2235,Fri,Y,7,2578
04/08/2018,1776,36,145,2230,Sat,Y,7,2736
05/08/2018,1712,46,199,2558,Sun,Y,7,2713
06/08/2018,1722,54,198,2626,Mon,Y,7,2536
07/08/2018,1422,34,151,2127,Tue,Y,7,2062
08/08/2018,1619,39,163,2274,Wed,Y,7,2396
09/08/2018,1546,31,118,1951,Thu,Y,7,2349
10/08/2018,1668,27,155,2117,Fri,Y,7,2755
11/08/2018,1926,27,143,2220,Sat,Y,7,2984
12/08/2018,1794,40,168,2398,Sun,Y,7,2691
13/08/2018,1674,34,163,2367,Mon,Y,7,2454
14/08/2018,1573,32,152,2218,Tue,Y,7,2255
15/08/2018,2018,59,165,2523,Wed,Y,7,2849
16/08/2018,1503,37,175,2266,Thu,Y,7,2303
17/08/2018,1436,47,150,2021,Fri,Y,7,2438
18/08/2018,1615,35,134,2190,Sat,Y,7,2549
19/08/2018,1907,36,214,2818,Sun,N,7,2977
20/08/2018,1774,47,204,2737,Mon,N,7,2680
21/08/2018,1534,38,159,2251,Tue,N,7,2324
22/08/2018,1856,48,192,2557,Wed,N,7,2728
23/08/2018,1599,32,150,2282,Thu,N,7,2463
24/08/2018,1549,30,171,2280,Fri,N,7,2601
25/08/2018,1771,22,131,2414,Sat,N,7,2729
26/08/2018,1750,41,197,2652,Sun,N,7,2718
27/08/2018,1804,51,199,2965,Mon,N,7,2611
28/08/2018,1458,41,160,2383,Tue,N,7,2204
29/08/2018,1560,53,187,2502,Wed,N,7,2380
30/08/2018,1400,29,182,2330,Thu,N,7,2383
31/08/2018,1419,49,157,2297,Fri,N,7,2598
01/09/2018,1498,29,119,2181,Sat,N,8,2525
02/09/2018,1600,38,193,2669,Sun,N,8,2618
03/09/2018,1679,62,254,3092,Mon,N,8,2541
04/09/2018,1426,58,238,2683,Tue,N,8,2362
05/09/2018,1617,44,222,2423,Wed,N,8,2508
06/09/2018,1276,55,202,2204,Thu,N,8,2258
07/09/2018,1282,49,167,2236,Fri,N,8,2497
08/09/2018,1344,43,172,1945,Sat,N,8,2591
09/09/2018,1624,39,221,2828,Sun,N,8,2902
10/09/2018,1738,57,254,2956,Mon,N,8,2667
11/09/2018,1242,41,222,2288,Tue,N,8,2093
12/09/2018,1446,52,231,2426,Wed,N,8,2603
13/09/2018,1279,41,193,2071,Thu,N,8,2348
14/09/2018,1372,38,192,2437,Fri,N,8,2814
15/09/2018,1415,27,178,2186,Sat,N,8,2737
16/09/2018,1563,40,214,2602,Sun,N,8,2794
17/09/2018,1777,46,231,3088,Mon,N,8,2872
18/09/2018,1467,51,224,2347,Tue,N,8,2385
19/09/2018,1855,51,250,2808,Wed,N,8,3089
20/09/2018,2038,65,227,2764,Thu,Y,8,3121
21/09/2018,2404,67,305,3202,Fri,Y,8,3767
22/09/2018,2740,51,249,2961,Sat,Y,8,3902
23/09/2018,2140,51,217,2877,Sun,Y,8,3317
24/09/2018,1622,42,177,2154,Mon,Y,8,2815
25/09/2018,1551,35,210,2339,Tue,Y,8,2512
26/09/2018,1364,45,218,2454,Wed,Y,8,2413
27/09/2018,1042,27,195,2210,Thu,Y,8,1915
28/09/2018,1353,32,160,2201,Fri,N,8,2463
29/09/2018,1407,31,124,2207,Sat,N,8,2558
30/09/2018,1395,44,207,2586,Sun,N,8,2671
01/10/2018,1361,36,191,2257,Mon,N,9,2280
02/10/2018,1323,44,157,2062,Tue,N,9,2156
03/10/2018,1735,38,179,2336,Wed,N,9,2720
04/10/2018,1296,36,149,2223,Thu,N,9,2163
05/10/2018,1606,42,193,2274,Fri,Y,9,2735
06/10/2018,1824,35,172,2207,Sat,Y,9,2992
07/10/2018,1741,49,216,2702,Sun,Y,9,2914
08/10/2018,1841,57,197,2694,Mon,N,9,2862
09/10/2018,1310,48,189,2295,Tue,N,9,2243
10/10/2018,1489,53,234,2642,Wed,N,9,2469
11/10/2018,1365,43,172,2082,Thu,N,9,2283
12/10/2018,1461,46,169,2127,Fri,N,9,2635
13/10/2018,1446,35,187,2170,Sat,N,9,2754
14/10/2018,1763,58,246,2843,Sun,N,9,3059
15/10/2018,1783,59,238,2764,Mon,N,9,2802
16/10/2018,1288,39,214,2356,Tue,N,9,2354
17/10/2018,1542,53,216,2432,Wed,N,9,2683
18/10/2018,1470,47,206,2306,Thu,N,9,2671
19/10/2018,1363,47,190,2348,Fri,N,9,2949
20/10/2018,1417,32,150,2208,Sat,N,9,2811
21/10/2018,1705,49,227,2821,Sun,N,9,3054
22/10/2018,1760,56,234,2772,Mon,N,9,2793
23/10/2018,1293,42,195,2208,Tue,N,9,2207
24/10/2018,1500,55,187,2270,Wed,N,9,2521
25/10/2018,1457,54,191,2157,Thu,N,9,2565
26/10/2018,1419,31,139,2119,Fri,N,9,2656
27/10/2018,1421,43,165,1904,Sat,N,9,2731
28/10/2018,1725,54,202,2705,Sun,N,9,3049
29/10/2018,1572,55,221,2785,Mon,N,9,2710
30/10/2018,1217,53,173,2284,Tue,N,9,2268
31/10/2018,1535,53,225,2433,Wed,N,9,2742
01/11/2018,1426,50,178,2154,Thu,N,10,2515
02/11/2018,1355,38,157,2203,Fri,N,10,2726
03/11/2018,1303,28,150,1990,Sat,N,10,2756
04/11/2018,1624,45,222,2600,Sun,N,10,3048
05/11/2018,1702,48,260,2886,Mon,N,10,2832
06/11/2018,1374,55,215,2384,Tue,N,10,2547
07/11/2018,1559,64,216,2549,Wed,N,10,2699
08/11/2018,1460,46,202,2313,Thu,N,10,2579
09/11/2018,1464,59,202,2422,Fri,N,10,2999
10/11/2018,1418,23,191,2216,Sat,N,10,2958
11/11/2018,1646,45,310,2952,Sun,N,10,3177
12/11/2018,1806,58,273,3145,Mon,N,10,3030
13/11/2018,1366,52,254,2506,Tue,N,10,2517
14/11/2018,1656,51,223,2600,Wed,N,10,2773
15/11/2018,1466,67,200,2251,Thu,N,10,2774
16/11/2018,1475,39,199,2300,Fri,N,10,3149
